image,drc
IMG_4070.JPG,62.0
IMG_4071.JPG,62.0
IMG_4072.JPG,62.0
IMG_4073.JPG,62.0
IMG_4074.JPG,62.0
IMG_4075.JPG,81.0
IMG_4076.JPG,81.0
IMG_4077.JPG,81.0
IMG_4078.JPG,81.0
IMG_4079.JPG,81.0
IMG_4080.JPG,81.0
IMG_4081.JPG,81.0
IMG_4082.JPG,81.0
IMG_4083.JPG,59.0
IMG_4084.JPG,59.0
IMG_4085.JPG,59.0
IMG_4086.JPG,59.0
IMG_4087.JPG,59.0
IMG_4088.JPG,59.0
IMG_4089.JPG,59.0
IMG_4090.JPG,64.0
IMG_4091.JPG,64.0
IMG_4092.JPG,64.0
IMG_4093.JPG,64.0
IMG_4094.JPG,64.0
IMG_4095.JPG,79.0
IMG_4096.JPG,79.0
IMG_4097.JPG,79.0
IMG_4098.JPG,79.0
IMG_4099.JPG,57.0
IMG_4100.JPG,57.0
IMG_4101.JPG,57.0
IMG_4102.JPG,57.0
IMG_4103.JPG,57.0
IMG_4104.JPG,72.0
IMG_4105.JPG,72.0
IMG_4106.JPG,56.0
IMG_4107.JPG,56.0
IMG_4108.JPG,56.0
IMG_4109.JPG,56.0
IMG_4110.JPG,56.0
IMG_4111.JPG,80.0
IMG_4112.JPG,80.0
IMG_4113.JPG,80.0
IMG_4114.JPG,80.0
IMG_4115.JPG,80.0
IMG_4116.JPG,80.0
IMG_4117.JPG,80.0
IMG_4136.JPG,82.0
IMG_4137.JPG,82.0
IMG_4138.JPG,82.0
IMG_4139.JPG,82.0
IMG_4140.JPG,82.0
IMG_4141.JPG,82.0
IMG_4142.JPG,82.0
IMG_4143.JPG,82.0
IMG_4146.JPG,68.5
IMG_4147.JPG,68.5
IMG_4148.JPG,68.5
IMG_4225.JPG,42.0
IMG_4226.JPG,42.0
IMG_4227.JPG,42.0
IMG_4228.JPG,42.0
IMG_4229.JPG,42.0
IMG_4230.JPG,89.5
IMG_4231.JPG,74.0
IMG_4232.JPG,72.0
IMG_4233.JPG,57.0
IMG_4234.JPG,57.0
IMG_4235.JPG,57.0
IMG_4236.JPG,57.0
IMG_4237.JPG,57.0
IMG_4238.JPG,73.0
IMG_4239.JPG,89.5
IMG_4240.JPG,89.5
IMG_4241.JPG,72.0
IMG_4242.JPG,72.0
IMG_4243.JPG,72.0
IMG_4244.JPG,89.5
IMG_4245.JPG,89.5
IMG_4246.JPG,89.5
IMG_4247.JPG,89.5
IMG_4248.JPG,89.5
IMG_4249.JPG,89.5
IMG_4250.JPG,89.5
IMG_4251.JPG,82.0
IMG_4252.JPG,82.0
IMG_4253.JPG,82.0
IMG_4254.JPG,82.0
IMG_4255.JPG,82.0
IMG_4256.JPG,82.0
IMG_4257.JPG,82.0
IMG_4258.JPG,82.0
IMG_4259.JPG,82.0
IMG_4260.JPG,82.0
IMG_4261.JPG,82.0
IMG_4262.JPG,72.0
IMG_4263.JPG,72.0
IMG_4264.JPG,72.0
IMG_4265.JPG,72.0
IMG_4266.JPG,72.0
IMG_4267.JPG,72.0
IMG_4268.JPG,72.0
IMG_4269.JPG,72.0
IMG_4270.JPG,72.0
IMG_4271.JPG,72.0
IMG_4272.JPG,72.0
IMG_4274.JPG,73.0
IMG_4275.JPG,73.0
IMG_4276.JPG,73.0
IMG_4277.JPG,73.0
IMG_4278.JPG,73.0
IMG_4279.JPG,73.0
IMG_4280.JPG,73.0
IMG_4281.JPG,73.0
IMG_4282.JPG,80.0
IMG_4283.JPG,80.0
IMG_4284.JPG,80.0
IMG_4285.JPG,80.0
IMG_4286.JPG,80.0
IMG_4287.JPG,80.0
IMG_4290.JPG,51.0
IMG_4291.JPG,51.0
IMG_4292.JPG,51.0
IMG_4293.JPG,51.0
IMG_4294.JPG,51.0
IMG_4295.JPG,51.0
IMG_4296.JPG,51.0
IMG_4297.JPG,51.0
IMG_4298.JPG,47.0
IMG_4299.JPG,47.0
IMG_4300.JPG,47.0
IMG_4301.JPG,47.0
IMG_4302.JPG,47.0
IMG_4303.JPG,47.0
IMG_4304.JPG,86.0
IMG_4305.JPG,86.0
IMG_4306.JPG,86.0
IMG_4307.JPG,86.0
IMG_4308.JPG,86.0
IMG_4309.JPG,86.0
IMG_4310.JPG,65.0
IMG_4311.JPG,65.0
IMG_4312.JPG,65.0
IMG_4313.JPG,65.0
IMG_4314.JPG,65.0
IMG_4315.JPG,65.0
IMG_4316.JPG,65.0
IMG_4317.JPG,80.0
IMG_4318.JPG,80.0
IMG_4319.JPG,80.0
IMG_4320.JPG,80.0
IMG_4321.JPG,75.0
IMG_4322.JPG,75.0
IMG_4323.JPG,75.0
IMG_4324.JPG,75.0
IMG_4325.JPG,75.0
IMG_4326.JPG,75.0
IMG_4327.JPG,75.0
IMG_4328.JPG,75.0
IMG_4329.JPG,75.0
IMG_4330.JPG,75.0
IMG_4331.JPG,75.0
IMG_4333.JPG,76.0
IMG_4334.JPG,76.0
IMG_4335.JPG,76.0
IMG_4336.JPG,76.0
IMG_4337.JPG,69.0
IMG_4338.JPG,69.0
IMG_4339.JPG,69.0
IMG_4340.JPG,69.0
IMG_4341.JPG,69.0
IMG_4342.JPG,69.0
IMG_4343.JPG,69.0
IMG_4344.JPG,69.0
IMG_4345.JPG,69.0
IMG_4346.JPG,69.0
IMG_4351.JPG,71.5
IMG_4352.JPG,71.5
IMG_4353.JPG,71.5
IMG_4354.JPG,71.5
IMG_4355.JPG,71.5
IMG_4356.JPG,80.0
IMG_4357.JPG,80.0
IMG_4358.JPG,80.0
IMG_4359.JPG,80.0
IMG_4360.JPG,80.0
IMG_4361.JPG,82.0
IMG_4362.JPG,82.0
IMG_4363.JPG,82.0
IMG_4366.JPG,82.0
